"Found","Response Code","Content Length"
"/call","301","1047"
"/carpet","301","1051"
"/flag","301","1049"
"/checkout.php","504","1001"
"/dig","504","989"
"/index.html","200","1051"
"/faculty","504","991"
"/fancybox.php","504","1003"
"/comment.txt","504","999"
"/copies.txt","504","999"
"/crack.txt","504","999"
"/hidden","504","1001"
"/hi","504","993"
"/cr.txt","504","1003"
"/greybox.php","504","993"
"/css.txt","504","995"
"/howto","504","993"
"/hilfe.php","504","989"
"/hire.php","504","1001"
"/daily.txt","504","1003"
"/data.txt","504","991"
"/highslide.php","504","999"
"/ignore","504","999"
"/dbase.txt","504","1005"
"/bot-trap.txt","502","993"
"/hipaa.php","504","993"
"/date.txt","504","991"
"/chk.php","502","993"
"/hide","504","1045"
"/dns.txt","504","991"
"/bat.txt","502","993"
"/Graphics.php","504","997"
"/intel.php","504","995"
"/httpuser","504","999"
"/drivers.txt","504","999"
"/joomla","504","997"
"/journals","504","997"
"/intra.php","504","995"
"/cpw.txt","504","995"
"/green.php","504","991"
"/hidden.php","504","995"
"/dokuwiki.txt","504","999"
"/install-xoffers.php","504","993"
"/checkout_iclear.php","504","995"
"/credit.txt","502","987"
"/fk.php","504","987"
"/dat.php","502","993"
"/ezsqliteadmin","504","989"
"/DMSDump.txt","504","1005"
"/customgroupicons.txt","504","999"
"/it","504","1001"
"/grid.php","504","1001"
"/left.php","504","991"
"/custom_log.txt","504","1001"
"/INSTALL_admin.php","504","987"
"/jsp2","504","997"
"/e107_admin.txt","504","997"
"/intelligence.php","504","991"
"/install.pgsql.php","504","995"
"/install-xaom.php","504","997"
"/download.txt","504","997"
"/inter.php","504","991"
"/jboss","504","995"
"/Documents%20and%20Settings.txt","504","993"
"/happen.php","504","991"
"/hpwebjetadmin","504","993"
"/cgi-pub.txt","502","993"
"/ipc.php","504","1007"
"/hacker.php","504","993"
"/jhtml","504","995"
"/javac","502","993"
"/id_rsa.pub","504","1005"
"/doubleclick.txt","504","991"
"/mta","504","993"
"/ip.php","504","999"
"/miscellaneous.php","504","995"
"/htdig","504","997"
"/index_adm.php","502","999"
"/high.php","502","995"
"/down.txt","504","1001"
"/dynamic.txt","504","997"
"/jexr","504","993"
"/java-sys","504","1003"
"/install-xpconf.php","504","1007"
"/hp","504","997"
"/handles.php","504","995"
"/callee.txt","504","997"
"/interactive.php","504","1005"
"/jessica","504","995"
"/jscripts","504","1007"
"/install-xsurvey.php","504","997"
"/inquiry.txt","504","1003"
"/dologin.txt","504","991"
"/custom.txt","504","999"
"/org.php","504","989"
"/interview.txt","504","995"
"/organisation.php","504","991"
"/hardware.php","504","997"
"/ips.php","504","999"
"/pipermail","504","995"
"/pipe","504","997"
"/performance.php","504","999"
"/peek.php","504","993"
"/skin","301","1055"
"/jsps.txt","504","989"
"/organisations.php","504","989"
"/javax","504","1005"
"/domain.txt","504","1007"
"/install-xrma.php","504","1003"
"/Pages","504","993"
"/install.txt","504","995"
"/opinion.php","504","993"
"/operator.php","504","993"
"/incubator.php","502","993"
"/perl.php","504","997"
"/projects.php","504","993"
"/maintenance","504","991"
"/juniper.txt","504","999"
"/pkg","504","993"
"/jump.txt","504","993"
"/perf.php","504","997"
"/","200","3834"
"/insert.txt","504","995"
"/opencart.php","504","995"
"/reseller","504","991"
"/input.txt","504","999"
"/sex","301","1048"
"/redirects.php","504","993"
"/mt-search.txt","504","991"
"/resolved","504","997"
"/secureprocess","504","993"
"/school","504","997"
"/searchurl","504","989"
"/rorindex.php","504","1003"
"/partners","504","989"
"/selection.php","504","991"
"/resellers","504","995"
"/papers.txt","504","989"
"/Sources","504","997"
"/signature.php","504","993"
"/sign_up.php","504","995"
"/secureform","504","1003"
"/log4net.php","502","1003"
"/sitecore.php","504","995"
"/pixel.txt","504","991"
"/spider","504","987"
"/siteadmin.php","504","1003"
"/sms.php","504","991"
"/ssn","504","995"
"/ssi","504","995"
"/pntemp.txt","504","995"
"/page-not-found","504","993"
"/questions.txt","504","991"
"/preferences","504","999"
"/thumbnails","504","993"
"/Spy","504","989"
"/table.php","504","993"
"/qinetiq.txt","504","997"
"/reports%20list","504","1001"
"/moved.txt","504","1005"
"/sitebuilder.php","504","993"
"/splash","504","997"
"/query.txt","504","995"
"/pnadodb.txt","504","997"
"/terms_privacy.php","504","1003"
"/qotd.txt","504","999"
"/podcasting.txt","504","993"
"/thumbnail","504","999"
"/rd.txt","504","1007"
"/reference.php","504","1011"
"/power_user.txt","504","993"
"/opendir.php","504","991"
"/shadow","301","1045"
"/releases.txt","504","997"
"/ingress.txt","504","995"
"/thickbox","504","999"
"/msql.txt","504","993"
"/init.txt","504","991"
"/signup.php","504","995"
"/informer.txt","504","995"
"/qpid.txt","504","989"
"/third-party","504","997"
"/tomcat-docs","504","995"
"/s.php","504","1003"
"/online.txt","504","1005"
"/securimage","504","997"
"/tooltip","502","993"
"/signaturepics.php","504","995"
"/sp","504","1001"
"/test.php","502","995"
"/call/","200","1054"
"/typolight.php","504","993"
"/partenaires","504","1005"
"/instructions.txt","504","1007"
"/extranet.php","504","995"
"/u.php","504","993"
"/ssl_check","504","997"
"/phpnuke.txt","504","993"
"/shipping_help.php","504","993"
"/space","504","995"
"/headers.php","504","997"
"/phppgadmin.txt","504","993"
"/move.txt","504","993"
"/realestate.txt","504","993"
"/toys","504","999"
"/sqlnet","504","999"
"/carpet/","200","1058"
"/pw_api.txt","504","991"
"/typo3conf.php","504","995"
"/phpMyAdmin2.txt","504","1005"
"/qa.txt","504","997"
"/self.php","504","995"
"/week","504","997"
"/webtrends","504","995"
"/vote.php","504","993"
"/ship.txt","504","999"
"/africa/","504","991"
"/vbs","504","997"
"/tomcat","504","995"
"/webadmin.php","504","989"
"/.git/HEAD/","504","991"
"/document.txt","504","991"
"/wstats","504","995"
"/smf.txt","504","997"
"/authorization/","504","993"
"/spiders.txt","504","1001"
"/zap","504","995"
"/zboard","504","1001"
"/wp-load.php","504","1005"
"/standalone.txt","504","993"
"/backdoor/","504","995"
"/sql-admin.txt","504","991"
"/z","504","1001"
"/hide/","200","1054"
"/playing.txt","504","995"
"/assetmanagement/","502","997"
"/xhtml","502","991"
"/sound.txt","502","993"
"/hop","504","993"
"/carbuyaction/","504","1001"
"/flag/","200","1060"
"/cas/","504","1005"
"/av/","502","991"
"/xxx","502","993"
"/.profile/","502","995"
"/wp-login.php","502","995"
"/bob/","504","995"
"/wml.txt","504","991"
"/d/","504","997"
"/wizmysqladmin.txt","504","997"
"/wii.txt","504","989"
"/bs/","504","991"
"/wolthuis.txt","504","997"
"/ckeditor/","502","1001"
"/xmlimporter.txt","504","999"
"/read.txt","502","993"
"/thread.txt","504","989"
"/users.txt","504","993"
"/card/","504","993"
"/usernames.txt","504","993"
"/fwlink/","504","997"
"/fw/","504","995"
"/g/","504","995"
"/this.txt","504","995"
"/statistics.txt","504","1001"
"/vbscripts","504","991"
"/inc/","504","997"
"/incs/","504","995"
"/Indy_admin/","504","993"
"/donate.txt","504","997"
"/int.txt","504","995"
"/payments","504","995"
"/payment_gateway","504","993"
"/call/1996","504","995"
"/login_db/","504","995"
"/login_sendpass/","504","997"
"/call/1998","504","1003"
"/incubator/","504","995"
"/fx/","504","991"
"/index/","504","1007"
"/index.php/","504","1001"
"/index.html/","504","999"
"/thumb","502","1007"
"/tags.php","502","1001"
"/sex/","200","1060"
"/queue.txt","502","991"
"/ticket","502","999"
"/shadow/","200","1052"
"/img2/","504","997"
"/queries.txt","502","1003"
"/imgs/","504","997"
"/skin/","200","1060"
"/queues.txt","502","997"
"/tape.php","502","993"
"/organisations/","504","1005"
"/index_2/","504","995"
"/call/index.html","200","1050"
"/call/conlib","504","993"
"/call/declarations","504","999"
"/math/","504","991"
"/call/declaration","504","995"
"/Recycled/","504","995"
"/thumbs.db","502","1005"
"/program/","502","991"
"/index.htm/","504","1001"
"/maven/","504","999"
"/cardinalform/","502","993"
"/threadtag.txt","502","997"
"/roam/","504","995"
"/ucenter/","504","997"
"/call/international","504","997"
"/Login/","504","995"
"/zh_TW/","504","989"
"/call/meta_login","504","1001"
"/carpet/api.php","504","997"
"/call/mirror","504","993"
"/carpet/autobackup.php","504","993"
"/carpet/bc","504","993"
"/call/mysqlmanager","504","1001"
"/carpet/avatar.php","504","993"
"/sandbox/","502","987"
"/carpet/_private","504","999"
"/carpet/.cache.php","504","999"
"/call/old","504","989"
"/carpet/buildr","504","999"
"/carpet/c","504","993"
"/carpet/blog_ajax.php","504","1003"
"/carpet/bz2","504","989"
"/call/meta_tags","504","995"
"/carpet/Blog.php","504","999"
"/call/operations","504","1003"
"/carpet/blue.php","504","987"
"/carpet/calendar","504","989"
"/carpet/blow.php","504","993"
"/carpet/cal","504","993"
"/psd/","502","1007"
"/carpet/50","504","997"
"/carpet/1001.php","504","995"
"/carpet/cfg","504","989"
"/call/log4net","504","995"
"/call/page","504","999"
"/wedding/","504","995"
"/carpet/automatic.php","504","991"
"/call/my-wishlist","504","1001"
"/carpet/bbadmin","504","995"
"/carpet/bb","504","993"
"/theme/","504","995"
"/stylesheet/","504","997"
"/sub/","504","995"
"/call/getfile","504","999"
"/call/mytag_js","502","989"
"/carpet/bandwidth","502","1005"
"/carpet/checkpoint.php","504","991"
"/carpet/common","504","995"
"/carpet/chris.php","504","989"
"/http/","504","993"
"/carpet/confirmed","504","1001"
"/carpet/bots.php","504","993"
"/carpet/cardinalauth","504","997"
"/carpet/bot.php","504","999"
"/tag.php","504","989"
"/qsc.txt","504","997"
"/question.txt","504","989"
"/privmsg/","504","1005"
"/carpet/autologin.php","504","991"
"/carpet/canada.php","504","1001"
"/carpet/charge","504","1001"
"/call/mytp","504","991"
"/carpet/authentication.php","504","1007"
"/privs/","504","995"
"/call/openbsd","504","989"
"/carpet/checks.php","504","995"
"/call/pipe","504","1003"
"/sav/","502","997"
"/subdomains/","504","999"
"/talk.php","504","991"
"/talks.php","504","991"
"/stylesheets/","504","1005"
"/carpet/autodeploy.php","504","991"
"/carpet/consumer","504","997"
"/carpet/book.php","504","999"
"/call/myadmin","502","997"
"/call/priv","504","987"
"/carpet/confirm.php","504","997"
"/call/printview","504","995"
"/carpet/creation","504","993"
"/call/pol","504","989"
"/call/patches","504","993"
"/call/dwr","502","989"
"/carpet/close.php","504","997"
"/call/poker","504","999"
"/carpet/confirm","504","1001"
"/carpet/autodiscover.php","504","997"
"/threadtag","504","997"
"/info/","504","1001"
"/call/reports","504","989"
"/carpet/drupal","504","995"
"/carpet/index.html","200","1062"
"/call/role","504","993"
"/carpet/db_connect","504","995"
"/carpet/e-mail","504","997"
"/call/root","504","993"
"/carpet/document_library.php","504","991"
"/call/rorindex","504","1001"
"/carpet/done.php","504","1003"
"/call/rss20","504","997"
"/call/rtf","504","993"
"/carpet/en","504","999"
"/carpet/emu","504","991"
"/carpet/abuse.php","504","991"
"/mdb/","504","997"
"/call/phpsitemapng","504","1007"
"/carpet/college","504","997"
"/call/roam","504","995"
"/call/simpleLogin","504","993"
"/carpet/ez.php","504","1005"
"/carpet/forgotten","504","995"
"/call/provider","504","995"
"/carpet/formupdate","504","997"
"/carpet/failed.php","504","995"
"/carpet/failure.php","504","995"
"/carpet/format","504","991"
"/carpet/email-addresses","504","999"
"/carpet/editor","504","997"
"/carpet/faculty.php","504","993"
"/carpet/credits.php","504","999"
"/carpet/forgot","504","993"
"/carpet/ezshopper.php","504","1001"
"/carpet/DMSDump.php","504","991"
"/call/sitefiles","504","999"
"/carpet/docs.php","504","995"
"/carpet/email","504","1005"
"/call/roller","504","1001"
"/carpet/formatting","504","997"
"/carpet/docnote.php","504","1001"
"/call/support","504","995"
"/call/Support","504","993"
"/carpet/documentation.php","504","997"
"/call/taxonomy","504","997"
"/carpet/gz.php","504","991"
"/carpet/ibm","504","993"
"/call/Technology","504","993"
"/carpet/handlers.php","504","995"
"/carpet/15.txt","504","997"
"/call/temporary","504","997"
"/carpet/head.php","504","999"
"/carpet/gift.php","504","991"
"/carpet/_template.txt","504","991"
"/carpet/history","504","997"
"/call/sitebuilder","504","995"
"/carpet/gfx.php","504","997"
"/carpet/gg.php","504","989"
"/carpet/hi","504","999"
"/carpet/_swf.txt","504","1003"
"/call/SUNWmc","504","1011"
"/carpet/helpdesk","504","997"
"/call/suite","504","997"
"/carpet/_vti_bin.txt","504","999"
"/call/sunos","504","991"
"/carpet/_vti_bin/_vti_adm/admin.dll.txt","504","997"
"/carpet/formmail","504","997"
"/carpet/_themes.txt","504","995"
"/carpet/gid.php","504","993"
"/call/support_login","504","991"
"/carpet/_templates.txt","504","997"
"/carpet/helpers","504","993"
"/call/sitecore","504","1001"
"/carpet/formslogin","504","995"
"/carpet/helper","504","993"
"/carpet/jakarta","504","993"
"/carpet/japan","504","995"
"/carpet/h.php","502","995"
"/carpet/and.php","504","991"
"/carpet/ajax.txt","504","993"
"/call/updates","504","995"
"/call/upgrade","504","993"
"/carpet/jbossws","504","997"
"/carpet/ajax_cron.txt","504","997"
